time,rtx3060,rtx3070,rtx3080,rtx3090,rx6700
1745572017,13,17,17,14,16
1745572075,4,13,13,18,12
1745572134,6,20,20,17,0
1745572193,14,7,7,1,14
1745572251,8,9,9,12,1
1745572309,9,6,6,1,4
1745572367,19,19,19,0,14
1745572425,11,0,0,12,4
1745572484,15,3,3,13,6
1745572542,20,4,4,14,19
1745572601,8,3,3,19,17
1745572659,6,20,20,1,7
1745572717,0,8,8,12,1
1745572775,1,2,2,10,15
1745572833,1,1,1,4,0
1745572834,0,0,0,0,2
1745572892,20,6,6,5,17
1745572950,15,15,15,11,1
1745573009,16,20,20,0,6
1745573067,0,2,2,12,1
1745573125,15,0,0,4,14
1745573183,16,10,10,11,6
1745573241,6,8,8,4,17
1745573299,15,6,6,18,14
1745573357,0,0,0,0,0
1745573358,0,16,16,17,19
1745573416,12,8,8,1,16
1745573475,0,19,19,10,11
1745573533,20,1,1,14,0
1745573591,18,16,16,5,17
1745573649,11,3,3,6,3
1745573707,16,9,9,0,5
1745573765,9,6,6,1,0
1745573766,0,0,0,0,9
1745573824,20,15,15,12,13
1745573883,15,17,17,4,13
1745573941,4,10,10,2,18
1745573999,4,10,10,2,18
1745574057,3,1,1,15,8
1745574115,19,17,17,10,1
1745574173,2,6,6,10,0
1745574174,0,0,0,0,1
1745574232,4,8,8,19,13
1745574290,6,12,12,8,19
1745574348,20,8,8,0,0
1745574349,0,0,0,2,12
1745574407,9,18,18,3,9
1745574465,9,1,1,3,13
1745574523,18,15,15,0,18
1745574582,12,11,11,10,14
1745574640,9,5,5,12,11
1745574698,10,12,12,4,20
1745574756,16,16,16,2,20
1745574814,0,5,5,9,12
1745574872,6,3,3,14,5
1745574930,17,3,3,4,18
1745574989,19,8,0,0,0
1745574990,0,0,8,2,15
1745575048,1,2,2,14,19
1745575106,8,3,3,11,2
1745575164,10,1,1,17,16
1745575222,1,18,18,3,15
1745575280,20,4,4,14,6
1745575338,10,3,3,7,19
1745575397,4,14,14,11,13
1745575455,6,20,20,4,2
1745575513,12,5,0,0,0
1745575514,0,0,5,8,13
1745575572,13,17,17,14,16
1745575630,4,13,13,18,12
1745575688,6,20,20,17,0
1745575748,14,7,7,1,14
1745575805,8,9,9,12,1
1745575866,9,6,6,1,4
1745580255,0,2,2,12,1
1745580315,15,0,0,4,14
1745580375,16,10,10,11,6
1745580434,6,8,8,4,17
1745580493,15,6,6,18,14
1745580552,0,16,16,17,19
1745580611,12,8,8,1,16
1745580670,0,19,19,10,11
1745580728,20,1,1,14,0
1745580787,18,16,16,5,17
1745580845,11,3,3,6,3
1745580904,16,9,9,0,5
1745580963,9,6,6,1,9
1745581021,20,15,0,0,0
1745581022,0,0,15,12,13
1745581080,15,17,17,4,13
1745581138,15,17,17,4,13
1745581198,4,10,10,2,18
1745581256,3,1,1,15,8
1745581315,19,17,17,10,1
1745581373,2,6,6,10,1
1745581432,4,8,8,19,13
1745581490,6,12,12,8,19
1745581548,20,8,8,2,12
1745581608,9,18,18,3,9
1745581666,9,1,1,3,13
1745581724,18,15,15,0,18
1745581782,12,11,11,10,14
1745581841,9,5,5,12,11
1745581899,10,12,12,4,20
1745581957,16,16,16,2,20
1745582016,0,5,5,9,12
1745582075,6,3,3,14,5
1745582133,17,3,3,4,18
1748351563,1,18,18,15,11
1748352363,6,7,7,20,0
1748355543,2,19,19,14,2
1748357693,8,9,9,8,11
1748357805,5,6,6,3,18
1748357858,14,12,12,10,20
1748357936,8,19,19,10,6
1748358317,9,9,9,9,15
1748358485,13,16,16,19,12
1748358565,8,7,7,9,5
1748358695,3,15,15,4,12
1748358776,1,18,18,15,11
1748358800,10,11,11,10,2
1748358856,7,12,12,15,12
1748358874,7,12,12,15,12
1748358924,9,18,18,20,18
1748359375,10,2,2,19,17
1748359440,6,15,15,2,6
1748359864,1,11,11,4,16
1748359886,1,11,11,4,16
1748360274,15,18,18,11,19
1748360305,19,13,13,9,5
1748361921,16,20,20,0,6
1748361977,0,2,2,0,0
1748361978,0,0,0,12,1
1748362012,0,2,2,12,1
1748362506,18,16,16,5,17
1748362568,11,3,3,6,0
1748362569,0,0,0,0,3
1748362601,11,3,3,6,3
1748363071,2,6,6,10,1
1748363097,2,6,6,10,1
1748363339,9,18,18,3,9
1748363761,6,3,3,14,5
1748363941,1,2,2,14,19
1748364052,8,3,3,11,2
1748364121,12,9,9,0,10
1748364301,17,12,12,3,14
1748364481,4,15,15,6,9
